Country,Year,Attack_ID,Target Industry,Financial Loss in Million  Doller,  Number of Affected Users  ,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
UK,2020,RWS34,Banking,98.07 ," 7,95,120 ",Unknown,Social Engineering,Firewall,42
Japan,2023,ML345,IT,73.74 ,"  7,95,367  ",Hacker Group,Zero-day,AI-based Detection,55
France,2018,SI657,Retail,53.72 ," 7,95,831 ",Nation-state,Unpatched Software,Encryption,61
Australia,2015,ML345,Healthcare,62.34 ,"  7,96,100  ",Hacker Group,Social Engineering,AI-based Detection,20
Brazil,2023,SI657,IT,97.37 ," 7,96,195 ",Nation-state,Social Engineering,Firewall,20
Brazil,2021,RWS34,Healthcare,67.25 ," 7,96,351 ",Nation-state,Weak Passwords,AI-based Detection,21
China,2019,SI657,Education,64.26 ," 7,96,878 ",Nation-state,Zero-day,Antivirus,26
Germany,2024,ML345,Banking,22.84 ," 7,97,768 ",Insider,Zero-day,Firewall,58
Russia,2020,DD678,Education,60.94 ," 7,98,113 ",Insider,Social Engineering,Antivirus,23
India,2021,RWS34,Banking,54.97 ," 7,98,498 ",Nation-state,Zero-day,VPN,54
UK,2019,ML345,Government,46.27 ,"  7,98,717  ",Hacker Group,Social Engineering,Encryption,10
UK,2019,RWS34,IT,17.98 ,"  7,99,372  ",Hacker Group,Zero-day,AI-based Detection,14
Japan,2023,DD678,Government,17.69 ," 7,99,380 ",Unknown,Weak Passwords,AI-based Detection,57
India,2019,MIM65,Education,10.80 ," 7,99,474 ",Nation-state,Zero-day,AI-based Detection,23
Australia,2016,RWS34,Healthcare,82.99 ," 7,99,581 ",Nation-state,Zero-day,AI-based Detection,50
UK,2017,MIM65,Education,13.06 ,"  7,99,627  ",Hacker Group,Weak Passwords,Antivirus,36
Australia,2017,MIM65,Telecommunications,79.72 ," 7,99,971 ",Insider,Zero-day,Firewall,63
Germany,2018,PH01,Telecommunications,84.90 ," 8,00,031 ",Unknown,Unpatched Software,Encryption,10
Australia,2022,PH01,Banking,64.07 ," 8,00,131 ",Unknown,Zero-day,AI-based Detection,69
China,2016,PH01,IT,7.73 ," 8,00,480 ",Unknown,Zero-day,VPN,31
Russia,2018,MIM65,Banking,86.87 ," 8,00,683 ",Nation-state,Unpatched Software,Firewall,57
India,2022,PH01,IT,37.76 ," 8,00,909 ",Nation-state,Zero-day,Antivirus,53
France,2016,MIM65,IT,62.08 ," 8,01,177 ",Nation-state,Social Engineering,Encryption,11
Australia,2017,ML345,Banking,25.76 ," 8,01,821 ",Unknown,Weak Passwords,AI-based Detection,18
Germany,2015,RWS34,Healthcare,58.91 ," 8,01,948 ",Insider,Zero-day,VPN,55
China,2018,DD678,IT,14.04 ," 8,03,086 ",Nation-state,Social Engineering,VPN,23
Russia,2020,MIM65,Telecommunications,64.39 ," 8,03,579 ",Unknown,Weak Passwords,VPN,1
USA,2020,SI657,Government,40.95 ,"  8,03,757  ",Hacker Group,Social Engineering,Firewall,33
France,2022,ML345,Retail,13.77 ," 8,04,221 ",Nation-state,Zero-day,Firewall,68
Australia,2015,SI657,Retail,89.77 ," 8,04,658 ",Nation-state,Unpatched Software,AI-based Detection,23
Australia,2023,SI657,Retail,78.57 ," 8,05,183 ",Unknown,Weak Passwords,VPN,37
India,2015,DD678,IT,93.14 ," 8,05,278 ",Insider,Social Engineering,Encryption,56
Japan,2024,DD678,IT,7.99 ," 8,05,548 ",Insider,Unpatched Software,Antivirus,10
UK,2018,ML345,Healthcare,19.79 ," 8,05,745 ",Insider,Weak Passwords,Firewall,7
India,2020,PH01,Retail,12.64 ," 8,05,905 ",Nation-state,Social Engineering,Firewall,54
Germany,2021,DD678,IT,73.50 ," 8,06,210 ",Unknown,Weak Passwords,Antivirus,5
UK,2023,DD678,Education,54.00 ," 8,06,965 ",Insider,Social Engineering,AI-based Detection,56
Russia,2015,DD678,Healthcare,20.92 ," 8,07,631 ",Nation-state,Weak Passwords,Firewall,56
Brazil,2021,SI657,IT,83.99 ," 8,07,733 ",Unknown,Weak Passwords,Encryption,18
Germany,2016,SI657,IT,76.36 ," 8,07,745 ",Nation-state,Unpatched Software,AI-based Detection,71
Russia,2020,RWS34,IT,33.61 ,"  8,07,918  ",Hacker Group,Social Engineering,Antivirus,37
Russia,2019,PH01,Government,93.70 ," 8,08,318 ",Nation-state,Social Engineering,Antivirus,57
Japan,2015,ML345,Healthcare,26.29 ,"  8,08,392  ",Hacker Group,Weak Passwords,AI-based Detection,4
France,2015,MIM65,Education,17.94 ," 8,08,798 ",Unknown,Social Engineering,Encryption,60
China,2016,ML345,Healthcare,96.63 ," 8,08,984 ",Unknown,Weak Passwords,Firewall,26
Russia,2020,RWS34,IT,36.90 ," 8,09,153 ",Nation-state,Social Engineering,AI-based Detection,48
UK,2020,DD678,Retail,86.00 ," 8,09,209 ",Unknown,Social Engineering,Encryption,26
Japan,2023,PH01,Government,3.54 ," 8,09,443 ",Insider,Weak Passwords,VPN,59
Brazil,2017,SI657,Telecommunications,4.35 ," 8,09,757 ",Nation-state,Social Engineering,VPN,61
Australia,2017,DD678,Banking,62.81 ,"  8,10,106  ",Hacker Group,Weak Passwords,Encryption,66
USA,2024,MIM65,Education,53.59 ," 8,10,539 ",Unknown,Weak Passwords,Antivirus,22
Germany,2018,MIM65,IT,74.41 ," 8,10,682 ",Insider,Social Engineering,VPN,68
Australia,2024,DD678,Banking,88.79 ," 8,10,930 ",Insider,Weak Passwords,AI-based Detection,30
China,2021,MIM65,Banking,85.26 ," 8,12,101 ",Insider,Social Engineering,VPN,52
UK,2020,PH01,Banking,84.77 ,"  8,12,206  ",Hacker Group,Unpatched Software,Encryption,39
Australia,2019,PH01,Education,10.87 ," 8,12,343 ",Insider,Social Engineering,Antivirus,16
France,2022,SI657,Government,68.53 ," 8,12,679 ",Nation-state,Zero-day,Encryption,67
Brazil,2023,RWS34,Telecommunications,32.18 ,"  8,12,908  ",Hacker Group,Weak Passwords,Antivirus,12
France,2020,SI657,Retail,36.17 ," 8,13,165 ",Nation-state,Unpatched Software,Antivirus,44
India,2022,ML345,Retail,13.88 ," 8,13,217 ",Insider,Zero-day,AI-based Detection,71
Brazil,2024,RWS34,IT,74.06 ,"  8,13,472  ",Hacker Group,Zero-day,VPN,17
France,2016,SI657,Government,2.24 ,"  8,13,706  ",Hacker Group,Weak Passwords,VPN,54
Australia,2023,MIM65,Retail,92.57 ," 8,13,789 ",Nation-state,Unpatched Software,Antivirus,27
Australia,2018,ML345,Telecommunications,8.69 ,"  8,13,960  ",Hacker Group,Weak Passwords,VPN,6
Russia,2018,PH01,Telecommunications,39.15 ,"  8,14,119  ",Hacker Group,Weak Passwords,Firewall,64
Germany,2018,SI657,Retail,75.63 ,"  8,14,701  ",Hacker Group,Social Engineering,Antivirus,63
China,2016,DD678,Education,81.31 ,"  8,15,317  ",Hacker Group,Social Engineering,Antivirus,72
Russia,2022,MIM65,IT,49.87 ," 8,16,398 ",Insider,Social Engineering,Encryption,39
Russia,2015,MIM65,Education,98.58 ," 8,16,455 ",Unknown,Unpatched Software,AI-based Detection,40
China,2016,DD678,IT,71.75 ,"  8,16,710  ",Hacker Group,Weak Passwords,VPN,60
Brazil,2022,RWS34,Banking,15.66 ," 8,17,169 ",Insider,Unpatched Software,Firewall,54
Australia,2017,ML345,Banking,92.65 ,"  8,17,255  ",Hacker Group,Weak Passwords,Antivirus,62
Brazil,2019,PH01,Government,70.60 ," 8,17,268 ",Nation-state,Zero-day,VPN,1
Australia,2016,ML345,Retail,29.05 ," 8,17,347 ",Nation-state,Weak Passwords,Antivirus,68
USA,2021,MIM65,Telecommunications,42.29 ," 8,17,386 ",Nation-state,Zero-day,Firewall,8
UK,2024,MIM65,Banking,14.84 ,"  8,17,793  ",Hacker Group,Social Engineering,VPN,64
India,2015,RWS34,Healthcare,1.48 ," 8,18,172 ",Unknown,Social Engineering,VPN,30
Russia,2019,DD678,Healthcare,68.10 ," 8,19,663 ",Unknown,Zero-day,Encryption,5
Germany,2015,MIM65,Retail,85.34 ,"  8,19,676  ",Hacker Group,Zero-day,Antivirus,59
Australia,2022,RWS34,Government,92.07 ," 8,19,812 ",Nation-state,Unpatched Software,Encryption,63
Japan,2020,SI657,IT,64.56 ,"  8,20,070  ",Hacker Group,Weak Passwords,Encryption,70
Russia,2020,RWS34,Banking,13.66 ," 8,20,140 ",Insider,Social Engineering,VPN,63
USA,2015,MIM65,IT,38.92 ," 8,20,182 ",Nation-state,Weak Passwords,Antivirus,16
USA,2017,RWS34,Education,12.59 ," 8,20,632 ",Unknown,Social Engineering,AI-based Detection,65
Japan,2015,ML345,Healthcare,5.79 ," 8,21,803 ",Unknown,Social Engineering,Firewall,40
France,2020,DD678,IT,63.87 ," 8,21,848 ",Insider,Unpatched Software,Firewall,60
Japan,2022,SI657,Telecommunications,67.62 ," 8,22,256 ",Insider,Unpatched Software,Firewall,60
France,2018,DD678,IT,75.88 ," 8,22,364 ",Unknown,Zero-day,VPN,71
UK,2016,RWS34,IT,58.99 ,"  8,22,380  ",Hacker Group,Zero-day,Firewall,26
USA,2024,ML345,Education,75.51 ," 8,22,636 ",Insider,Social Engineering,Antivirus,63
Germany,2021,DD678,Banking,1.62 ," 8,23,004 ",Nation-state,Zero-day,Encryption,22
China,2022,PH01,Telecommunications,71.77 ," 8,23,093 ",Insider,Zero-day,Firewall,36
Australia,2017,SI657,IT,5.05 ," 8,23,606 ",Insider,Weak Passwords,Encryption,25
Australia,2024,ML345,Telecommunications,83.69 ," 8,24,298 ",Nation-state,Unpatched Software,Firewall,4
France,2023,SI657,Healthcare,69.76 ," 8,24,351 ",Unknown,Zero-day,Firewall,17
Australia,2022,ML345,Retail,32.26 ," 8,24,433 ",Nation-state,Unpatched Software,AI-based Detection,60
France,2015,RWS34,IT,84.02 ," 8,24,619 ",Unknown,Social Engineering,Firewall,21
Brazil,2017,RWS34,Government,58.18 ,"  8,24,704  ",Hacker Group,Zero-day,Antivirus,30
Japan,2017,DD678,IT,27.76 ," 8,24,968 ",Insider,Weak Passwords,Encryption,15
Australia,2016,DD678,IT,43.19 ," 8,25,866 ",Unknown,Weak Passwords,Firewall,23
UK,2015,ML345,IT,96.79 ," 8,25,881 ",Unknown,Zero-day,AI-based Detection,35
India,2015,RWS34,Telecommunications,24.70 ,"  8,25,941  ",Hacker Group,Unpatched Software,VPN,54
USA,2022,RWS34,IT,85.61 ,"  8,26,018  ",Hacker Group,Weak Passwords,Firewall,24
Brazil,2020,PH01,Retail,50.99 ," 8,26,159 ",Insider,Weak Passwords,VPN,3
Brazil,2019,SI657,Banking,27.64 ," 8,26,256 ",Nation-state,Zero-day,VPN,50
Russia,2019,PH01,Banking,58.38 ," 8,26,778 ",Insider,Zero-day,AI-based Detection,59
Russia,2018,DD678,IT,5.18 ," 8,26,924 ",Insider,Social Engineering,VPN,35
India,2022,SI657,Healthcare,77.30 ," 8,26,937 ",Unknown,Zero-day,AI-based Detection,64
India,2021,SI657,IT,98.09 ," 8,26,976 ",Nation-state,Zero-day,VPN,57
Brazil,2020,SI657,Education,62.72 ," 8,27,349 ",Nation-state,Unpatched Software,VPN,68
France,2024,PH01,Retail,44.98 ," 8,27,399 ",Nation-state,Weak Passwords,AI-based Detection,25
Russia,2017,MIM65,Government,80.95 ,"  8,27,534  ",Hacker Group,Unpatched Software,Firewall,29
India,2023,RWS34,Banking,42.02 ,"  8,27,952  ",Hacker Group,Unpatched Software,AI-based Detection,21
Germany,2022,MIM65,Telecommunications,62.83 ,"  8,28,280  ",Hacker Group,Social Engineering,VPN,62
Australia,2021,MIM65,Banking,82.04 ," 8,28,293 ",Insider,Weak Passwords,Antivirus,64
UK,2019,PH01,Banking,84.50 ,"  8,28,382  ",Hacker Group,Weak Passwords,AI-based Detection,4
Germany,2023,DD678,IT,93.72 ," 8,28,721 ",Insider,Weak Passwords,Encryption,21
Russia,2018,RWS34,Education,22.77 ,"  8,28,880  ",Hacker Group,Unpatched Software,Antivirus,69
USA,2017,RWS34,Government,89.90 ," 8,28,963 ",Unknown,Zero-day,Firewall,2
France,2018,MIM65,Education,36.92 ," 8,29,140 ",Nation-state,Unpatched Software,Encryption,2
Brazil,2018,SI657,Retail,36.63 ," 8,29,742 ",Insider,Unpatched Software,Firewall,57
UK,2021,DD678,Telecommunications,57.75 ," 8,29,827 ",Nation-state,Weak Passwords,Antivirus,48
India,2016,SI657,Healthcare,33.11 ," 8,30,670 ",Unknown,Social Engineering,Antivirus,11
UK,2019,PH01,Government,21.58 ," 8,31,367 ",Insider,Social Engineering,Antivirus,55
Brazil,2016,SI657,Telecommunications,13.94 ," 8,32,297 ",Nation-state,Weak Passwords,AI-based Detection,69
France,2017,RWS34,Education,19.84 ," 8,32,471 ",Insider,Social Engineering,Firewall,54
Australia,2024,MIM65,Healthcare,93.40 ," 8,33,819 ",Insider,Unpatched Software,Antivirus,14
UK,2023,SI657,Telecommunications,30.19 ," 8,33,840 ",Insider,Unpatched Software,Antivirus,6
Japan,2021,MIM65,Education,69.99 ," 8,34,355 ",Nation-state,Unpatched Software,AI-based Detection,71
Germany,2018,DD678,Telecommunications,15.14 ," 8,34,902 ",Nation-state,Weak Passwords,Firewall,63
France,2019,DD678,Telecommunications,85.65 ," 8,35,349 ",Nation-state,Unpatched Software,VPN,8
Japan,2024,RWS34,Retail,37.49 ," 8,35,730 ",Insider,Zero-day,VPN,14
Australia,2022,DD678,IT,27.02 ," 8,35,814 ",Insider,Weak Passwords,Encryption,40
UK,2016,SI657,Telecommunications,98.39 ," 8,36,521 ",Insider,Weak Passwords,Firewall,19
India,2023,PH01,Retail,38.89 ,"  8,36,604  ",Hacker Group,Unpatched Software,AI-based Detection,44
India,2015,MIM65,Healthcare,29.54 ," 8,37,320 ",Unknown,Social Engineering,VPN,14
Russia,2015,SI657,IT,56.07 ," 8,37,322 ",Insider,Zero-day,AI-based Detection,25
India,2017,RWS34,Retail,80.93 ," 8,37,506 ",Nation-state,Zero-day,Antivirus,8
India,2021,ML345,Telecommunications,50.97 ," 8,38,461 ",Nation-state,Zero-day,AI-based Detection,6
USA,2021,SI657,Education,45.52 ," 8,38,652 ",Unknown,Social Engineering,Encryption,20
Brazil,2016,DD678,Telecommunications,94.10 ," 8,38,739 ",Unknown,Social Engineering,VPN,21
Japan,2023,DD678,Government,67.59 ," 8,39,088 ",Unknown,Unpatched Software,VPN,62
Brazil,2023,SI657,Telecommunications,31.54 ," 8,39,281 ",Insider,Weak Passwords,Encryption,25
Japan,2017,SI657,Healthcare,54.26 ," 8,39,368 ",Insider,Unpatched Software,Antivirus,40
Australia,2022,ML345,Retail,47.33 ," 8,39,881 ",Unknown,Zero-day,Firewall,51
Russia,2018,DD678,IT,37.84 ," 8,39,882 ",Nation-state,Social Engineering,AI-based Detection,7
USA,2017,MIM65,Banking,59.54 ," 8,39,892 ",Nation-state,Weak Passwords,Encryption,20
Russia,2019,PH01,Healthcare,17.60 ," 8,39,921 ",Unknown,Zero-day,Antivirus,5
Australia,2018,SI657,Banking,71.01 ," 8,40,106 ",Insider,Weak Passwords,VPN,44
China,2020,MIM65,Education,84.40 ,"  8,40,118  ",Hacker Group,Zero-day,Encryption,58
Japan,2022,ML345,IT,71.15 ," 8,40,225 ",Unknown,Zero-day,Encryption,70
France,2020,DD678,Government,44.16 ," 8,40,796 ",Nation-state,Weak Passwords,AI-based Detection,5
China,2024,PH01,Education,4.01 ," 8,41,054 ",Insider,Zero-day,Antivirus,49
UK,2022,DD678,Government,50.04 ," 8,41,198 ",Unknown,Zero-day,VPN,41
France,2021,SI657,Government,2.30 ," 8,41,324 ",Unknown,Weak Passwords,Encryption,8
France,2023,MIM65,Government,85.85 ," 8,41,548 ",Unknown,Zero-day,Firewall,68
Japan,2021,ML345,Retail,90.80 ," 8,41,766 ",Nation-state,Social Engineering,AI-based Detection,16
Japan,2022,ML345,Healthcare,73.26 ," 8,41,903 ",Unknown,Social Engineering,Firewall,7
Germany,2020,SI657,Education,87.84 ," 8,42,506 ",Unknown,Weak Passwords,Antivirus,19
China,2019,MIM65,IT,79.33 ," 8,42,637 ",Nation-state,Unpatched Software,AI-based Detection,55
Brazil,2024,PH01,Retail,88.47 ,"  8,42,945  ",Hacker Group,Weak Passwords,Firewall,67
Australia,2021,RWS34,Healthcare,37.89 ," 8,43,256 ",Nation-state,Unpatched Software,Antivirus,43
UK,2020,PH01,Healthcare,66.55 ,"  8,43,310  ",Hacker Group,Zero-day,Antivirus,71
Australia,2018,ML345,Banking,68.32 ," 8,43,891 ",Unknown,Weak Passwords,Antivirus,31
UK,2019,MIM65,Banking,22.94 ," 8,44,953 ",Unknown,Weak Passwords,Antivirus,53
Japan,2017,PH01,IT,49.12 ," 8,45,169 ",Nation-state,Social Engineering,VPN,1
Germany,2024,PH01,IT,3.93 ," 8,45,785 ",Unknown,Unpatched Software,VPN,69
Germany,2020,DD678,Government,32.71 ,"  8,46,169  ",Hacker Group,Zero-day,VPN,59
Germany,2015,DD678,IT,91.79 ," 8,46,200 ",Unknown,Social Engineering,AI-based Detection,26
Russia,2022,MIM65,Banking,53.95 ," 8,46,546 ",Unknown,Unpatched Software,VPN,51
USA,2020,DD678,Healthcare,38.14 ," 8,46,602 ",Insider,Weak Passwords,Firewall,31
Japan,2020,PH01,Telecommunications,91.52 ," 8,46,884 ",Nation-state,Social Engineering,AI-based Detection,42
Australia,2016,PH01,Government,72.34 ,"  8,47,817  ",Hacker Group,Social Engineering,Firewall,13
India,2020,PH01,Healthcare,38.19 ," 8,47,958 ",Insider,Weak Passwords,Firewall,32
UK,2022,PH01,Banking,18.45 ,"  8,48,022  ",Hacker Group,Social Engineering,Antivirus,10
UK,2016,ML345,Banking,49.92 ," 8,48,188 ",Nation-state,Unpatched Software,VPN,12
France,2020,RWS34,Education,47.32 ," 8,48,222 ",Insider,Unpatched Software,VPN,16
UK,2020,MIM65,Telecommunications,59.32 ," 8,48,419 ",Insider,Unpatched Software,VPN,27
Germany,2019,SI657,Government,67.05 ," 8,48,517 ",Unknown,Unpatched Software,Antivirus,16
China,2017,PH01,Education,16.82 ,"  8,48,597  ",Hacker Group,Weak Passwords,AI-based Detection,11
Brazil,2021,SI657,Telecommunications,11.61 ," 8,48,702 ",Unknown,Weak Passwords,Antivirus,48
USA,2016,ML345,Retail,41.11 ," 8,48,855 ",Unknown,Unpatched Software,VPN,37
USA,2019,PH01,Education,97.32 ," 8,49,084 ",Nation-state,Zero-day,VPN,62
India,2019,DD678,Banking,14.98 ," 8,49,664 ",Unknown,Social Engineering,Antivirus,40
India,2022,ML345,Government,84.15 ,"  8,49,745  ",Hacker Group,Social Engineering,Antivirus,51
USA,2018,SI657,Healthcare,73.16 ," 8,49,755 ",Insider,Weak Passwords,Encryption,46
Brazil,2021,RWS34,Education,18.11 ," 8,49,791 ",Nation-state,Unpatched Software,VPN,53
China,2023,MIM65,Telecommunications,37.73 ,"  8,49,834  ",Hacker Group,Zero-day,AI-based Detection,56
India,2022,SI657,Telecommunications,95.74 ," 8,49,940 ",Insider,Weak Passwords,AI-based Detection,61
Brazil,2018,ML345,Education,5.27 ,"  8,50,056  ",Hacker Group,Weak Passwords,VPN,65
Russia,2017,MIM65,Healthcare,13.04 ,"  8,50,158  ",Hacker Group,Unpatched Software,AI-based Detection,67
Brazil,2020,ML345,Telecommunications,23.21 ," 8,50,214 ",Unknown,Social Engineering,Antivirus,45
Russia,2022,ML345,Banking,39.62 ,"  8,50,339  ",Hacker Group,Social Engineering,Firewall,50
Japan,2015,PH01,Government,98.29 ," 8,50,600 ",Insider,Zero-day,Encryption,17
Russia,2023,MIM65,IT,26.45 ,"  8,50,714  ",Hacker Group,Unpatched Software,Encryption,6
USA,2020,RWS34,Retail,16.33 ," 8,50,758 ",Insider,Unpatched Software,Firewall,9
Brazil,2017,PH01,IT,81.04 ," 8,50,794 ",Unknown,Social Engineering,Antivirus,69
UK,2024,ML345,Retail,33.24 ," 8,51,177 ",Insider,Unpatched Software,Encryption,53
Australia,2018,RWS34,Education,50.66 ," 8,51,204 ",Insider,Zero-day,Firewall,3
Russia,2022,RWS34,Banking,50.11 ," 8,51,222 ",Insider,Weak Passwords,Encryption,16
Russia,2020,DD678,Banking,33.99 ," 8,51,863 ",Insider,Weak Passwords,Firewall,25
India,2021,SI657,Telecommunications,68.91 ," 8,51,981 ",Nation-state,Zero-day,AI-based Detection,57
China,2024,PH01,IT,24.92 ," 8,52,327 ",Unknown,Zero-day,VPN,44
Brazil,2023,PH01,Banking,69.45 ," 8,52,592 ",Nation-state,Zero-day,AI-based Detection,12
Australia,2015,SI657,Retail,55.78 ," 8,52,650 ",Nation-state,Social Engineering,AI-based Detection,50
USA,2018,PH01,Retail,36.85 ,"  8,52,789  ",Hacker Group,Social Engineering,VPN,4
USA,2016,MIM65,Banking,57.26 ," 8,52,868 ",Unknown,Unpatched Software,Firewall,8
Russia,2021,RWS34,Education,86.80 ," 8,52,965 ",Nation-state,Weak Passwords,Antivirus,39
USA,2015,DD678,IT,94.14 ," 8,54,005 ",Unknown,Zero-day,AI-based Detection,14
Japan,2021,PH01,Banking,82.85 ," 8,54,309 ",Insider,Zero-day,Antivirus,16
Japan,2020,MIM65,IT,35.79 ," 8,54,904 ",Insider,Weak Passwords,Firewall,12
Russia,2016,RWS34,Government,59.66 ," 8,54,961 ",Unknown,Unpatched Software,AI-based Detection,7
China,2020,MIM65,Telecommunications,14.61 ,"  8,55,055  ",Hacker Group,Unpatched Software,Antivirus,59
China,2017,MIM65,Banking,62.39 ," 8,55,974 ",Unknown,Social Engineering,VPN,44
France,2017,DD678,Retail,67.36 ,"  8,56,228  ",Hacker Group,Zero-day,Encryption,47
France,2015,MIM65,Healthcare,79.58 ,"  8,56,278  ",Hacker Group,Zero-day,Firewall,71
Germany,2022,SI657,Retail,11.51 ,"  8,57,660  ",Hacker Group,Zero-day,VPN,37
India,2019,DD678,Telecommunications,14.53 ," 8,57,688 ",Insider,Zero-day,Antivirus,55
India,2016,RWS34,Education,8.55 ," 8,57,887 ",Unknown,Social Engineering,Firewall,44
USA,2018,RWS34,Healthcare,51.71 ,"  8,58,128  ",Hacker Group,Social Engineering,Antivirus,35
USA,2020,ML345,Telecommunications,27.16 ," 8,58,207 ",Nation-state,Unpatched Software,AI-based Detection,42
India,2017,SI657,IT,78.94 ," 8,58,565 ",Unknown,Weak Passwords,Encryption,29
Germany,2022,SI657,Telecommunications,29.02 ," 8,59,311 ",Insider,Zero-day,AI-based Detection,47
Germany,2017,ML345,Healthcare,1.68 ," 8,59,708 ",Nation-state,Weak Passwords,Encryption,10
Australia,2018,DD678,Retail,41.59 ," 8,60,119 ",Nation-state,Unpatched Software,Encryption,30
UK,2024,RWS34,Banking,12.22 ,"  8,60,343  ",Hacker Group,Weak Passwords,Antivirus,42
France,2018,PH01,Retail,99.78 ,"  8,60,459  ",Hacker Group,Social Engineering,AI-based Detection,11
Australia,2021,RWS34,Retail,61.46 ," 8,60,546 ",Unknown,Zero-day,AI-based Detection,22
Brazil,2017,DD678,IT,72.48 ," 8,60,625 ",Unknown,Zero-day,Firewall,4
China,2016,RWS34,Government,72.25 ," 8,60,664 ",Unknown,Zero-day,Firewall,10
Brazil,2018,SI657,Education,52.70 ,"  8,61,075  ",Hacker Group,Social Engineering,Encryption,7
Russia,2021,SI657,Healthcare,48.71 ," 8,61,410 ",Unknown,Social Engineering,VPN,7
Germany,2015,PH01,Banking,58.78 ," 8,61,637 ",Unknown,Social Engineering,VPN,15
Australia,2024,ML345,Education,83.04 ," 8,62,049 ",Insider,Unpatched Software,Antivirus,43
Germany,2019,ML345,Banking,79.24 ,"  8,62,136  ",Hacker Group,Zero-day,VPN,44
Germany,2022,SI657,Telecommunications,42.80 ,"  8,62,664  ",Hacker Group,Zero-day,Firewall,44
India,2019,SI657,Education,95.54 ,"  8,62,718  ",Hacker Group,Weak Passwords,Antivirus,44
USA,2016,SI657,Government,14.17 ," 8,63,298 ",Nation-state,Unpatched Software,VPN,15
China,2019,ML345,Retail,79.37 ,"  8,63,510  ",Hacker Group,Weak Passwords,VPN,2
USA,2021,DD678,Telecommunications,1.98 ,"  8,63,623  ",Hacker Group,Weak Passwords,Firewall,24
USA,2022,ML345,IT,4.06 ," 8,63,756 ",Nation-state,Unpatched Software,AI-based Detection,66
Russia,2016,PH01,Government,2.74 ," 8,63,777 ",Insider,Zero-day,Antivirus,20
USA,2022,ML345,Retail,7.65 ,"  8,64,358  ",Hacker Group,Unpatched Software,VPN,11
UK,2018,MIM65,Government,91.52 ," 8,65,257 ",Nation-state,Social Engineering,VPN,19
Germany,2024,MIM65,Government,45.75 ," 8,65,871 ",Insider,Weak Passwords,Antivirus,58
Australia,2022,ML345,Education,47.12 ," 8,66,057 ",Unknown,Social Engineering,Antivirus,17
Russia,2015,PH01,Government,24.06 ," 8,67,302 ",Unknown,Social Engineering,Firewall,55
Russia,2021,ML345,Education,0.54 ," 8,69,574 ",Unknown,Unpatched Software,Antivirus,16
Germany,2016,SI657,Retail,56.57 ," 8,69,605 ",Unknown,Social Engineering,VPN,51
France,2019,PH01,Healthcare,52.18 ," 8,69,751 ",Insider,Zero-day,Firewall,12
Russia,2020,MIM65,IT,21.72 ," 8,70,019 ",Insider,Social Engineering,AI-based Detection,5
France,2020,MIM65,Education,35.12 ," 8,71,001 ",Nation-state,Zero-day,Antivirus,39
Japan,2023,ML345,Telecommunications,67.77 ,"  8,71,255  ",Hacker Group,Social Engineering,AI-based Detection,24
China,2021,PH01,Healthcare,55.04 ," 8,71,600 ",Insider,Unpatched Software,Firewall,29
Brazil,2017,MIM65,IT,71.06 ," 8,71,891 ",Unknown,Social Engineering,Antivirus,52
Japan,2020,SI657,Retail,10.41 ," 8,72,095 ",Nation-state,Unpatched Software,Firewall,44
Russia,2024,ML345,Government,49.51 ,"  8,72,411  ",Hacker Group,Zero-day,Firewall,5
Russia,2024,SI657,Healthcare,76.99 ," 8,73,037 ",Nation-state,Unpatched Software,Antivirus,31
Australia,2018,RWS34,Banking,50.64 ," 8,74,035 ",Insider,Unpatched Software,Antivirus,38
Australia,2018,SI657,Banking,40.11 ," 8,74,040 ",Unknown,Social Engineering,Firewall,6
India,2018,SI657,Education,52.05 ," 8,74,254 ",Nation-state,Zero-day,Antivirus,11
Russia,2023,RWS34,Telecommunications,60.08 ,"  8,74,485  ",Hacker Group,Weak Passwords,Antivirus,48
India,2020,ML345,Healthcare,7.08 ," 8,75,225 ",Unknown,Zero-day,Antivirus,31
India,2016,MIM65,Healthcare,8.25 ," 8,75,227 ",Unknown,Zero-day,AI-based Detection,20
UK,2023,SI657,Banking,85.64 ," 8,75,790 ",Nation-state,Unpatched Software,Firewall,36
Germany,2017,MIM65,Healthcare,97.14 ," 8,75,912 ",Insider,Unpatched Software,Firewall,33
USA,2016,DD678,Education,66.73 ," 8,76,135 ",Insider,Unpatched Software,AI-based Detection,67
Germany,2023,MIM65,Education,26.14 ," 8,76,348 ",Unknown,Social Engineering,Encryption,1
Germany,2022,SI657,IT,48.00 ," 8,76,383 ",Insider,Zero-day,Encryption,72
Japan,2018,SI657,Government,20.36 ," 8,76,850 ",Insider,Weak Passwords,AI-based Detection,8
USA,2018,DD678,Retail,90.78 ," 8,77,041 ",Unknown,Unpatched Software,VPN,48
France,2019,DD678,IT,75.84 ," 8,77,224 ",Unknown,Unpatched Software,Encryption,57
Japan,2020,SI657,Banking,64.25 ," 8,77,560 ",Nation-state,Weak Passwords,Encryption,61
Russia,2024,RWS34,Healthcare,98.25 ," 8,77,571 ",Insider,Weak Passwords,Antivirus,19
USA,2016,PH01,IT,68.23 ," 8,77,998 ",Nation-state,Weak Passwords,Antivirus,23
